NU_INSCRICAO,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA
190001042843,17.0,458.3,466.4,540.8,398.8,140.0,170.0,160.0,170.0,160.0,820.0,3.0,466.075
190001425177,18.0,523.6,545.1,509.1,425.2,120.0,120.0,120.0,120.0,20.0,500.0,6.0,500.75000000000006
190001237831,19.0,519.4,533.0,522.8,626.5,100.0,120.0,120.0,120.0,100.0,560.0,2.0,550.425
190001517238,33.0,442.3,515.3,556.1,411.8,120.0,120.0,120.0,120.0,120.0,600.0,3.0,481.37499999999994
190002447770,21.0,468.9,517.3,528.4,453.3,120.0,120.0,100.0,120.0,100.0,560.0,3.0,491.97499999999997
190002037444,24.0,464.9,543.2,602.1,419.2,120.0,120.0,120.0,120.0,20.0,500.0,2.0,507.35
190001867768,22.0,472.4,514.3,540.7,511.7,120.0,120.0,100.0,120.0,40.0,500.0,3.0,509.77500000000003
190001184602,17.0,370.6,463.9,481.9,464.3,140.0,120.0,160.0,170.0,160.0,760.0,4.0,445.175
190001867769,17.0,437.6,532.3,526.1,452.8,120.0,120.0,120.0,120.0,100.0,580.0,6.0,487.2
190001493201,20.0,396.6,553.7,547.9,497.3,160.0,160.0,160.0,160.0,160.0,800.0,4.0,498.875
190001493202,18.0,472.8,479.2,511.2,509.0,160.0,120.0,140.0,140.0,0.0,560.0,5.0,493.05
190001595698,22.0,393.0,469.1,510.7,491.1,100.0,120.0,120.0,120.0,80.0,540.0,3.0,465.975
190001520684,33.0,549.2,626.8,599.0,440.3,160.0,170.0,160.0,170.0,100.0,800.0,2.0,553.825
190001595699,20.0,367.1,528.5,539.9,462.8,120.0,120.0,120.0,140.0,80.0,580.0,2.0,474.575
190001595700,33.0,527.1,577.3,531.3,535.6,140.0,140.0,120.0,120.0,160.0,680.0,3.0,542.825
190001237832,32.0,373.1,464.1,493.4,392.2,120.0,90.0,100.0,120.0,20.0,440.0,3.0,430.7
190001493203,19.0,435.6,445.9,530.4,451.6,120.0,120.0,120.0,140.0,120.0,620.0,5.0,465.875
190001658313,33.0,533.4,594.1,590.1,410.3,160.0,140.0,160.0,160.0,160.0,780.0,4.0,531.975
190001409453,25.0,574.5,547.2,566.9,584.1,120.0,160.0,120.0,120.0,140.0,660.0,8.0,568.175
190001595701,17.0,547.5,636.6,599.8,573.2,120.0,160.0,140.0,120.0,80.0,620.0,3.0,589.275
190001595702,22.0,374.0,438.7,525.9,481.5,120.0,140.0,120.0,140.0,140.0,660.0,4.0,455.025
190001093227,16.0,378.0,498.0,533.1,602.2,120.0,120.0,120.0,120.0,140.0,620.0,3.0,502.825
190001425178,19.0,410.1,465.3,484.7,454.1,90.0,120.0,120.0,100.0,60.0,480.0,6.0,453.55000000000007
190001520685,20.0,511.5,495.1,533.2,596.3,120.0,140.0,140.0,120.0,100.0,620.0,4.0,534.0250000000001
190001237833,21.0,448.4,454.8,518.4,478.9,120.0,120.0,100.0,120.0,20.0,480.0,3.0,475.125
190001595705,29.0,471.1,547.5,566.0,570.3,120.0,120.0,120.0,120.0,100.0,580.0,4.0,538.7249999999999
190001595707,33.0,432.3,506.6,519.4,431.9,120.0,120.0,120.0,120.0,60.0,540.0,2.0,472.55000000000007
190001595706,17.0,615.9,686.4,617.7,773.7,140.0,120.0,120.0,120.0,100.0,600.0,2.0,673.425
190001425180,20.0,526.8,598.2,546.8,507.7,100.0,120.0,120.0,100.0,120.0,560.0,3.0,544.875
190001867770,28.0,406.5,571.0,542.3,644.5,140.0,120.0,120.0,120.0,0.0,500.0,2.0,541.075
190001425181,33.0,509.0,553.4,539.4,509.5,120.0,100.0,90.0,90.0,60.0,440.0,4.0,527.825
190001705268,18.0,491.3,530.4,533.6,455.7,120.0,120.0,120.0,140.0,140.0,640.0,2.0,502.75000000000006
190001042846,18.0,570.1,573.3,547.8,627.4,160.0,170.0,160.0,170.0,200.0,880.0,4.0,579.65
190001133228,19.0,507.3,455.7,513.2,469.3,140.0,140.0,120.0,120.0,80.0,600.0,6.0,486.375
190001237834,33.0,517.5,490.7,519.8,512.4,120.0,120.0,120.0,120.0,120.0,600.0,2.0,510.1
190001692722,20.0,406.4,509.9,496.1,465.1,120.0,140.0,120.0,120.0,100.0,600.0,4.0,469.375
190001425184,26.0,555.8,556.4,542.4,623.1,120.0,120.0,100.0,120.0,120.0,580.0,7.0,569.425
190001133230,31.0,600.3,606.4,573.5,586.0,100.0,160.0,120.0,100.0,120.0,600.0,4.0,591.55
190001121532,17.0,367.3,448.7,454.3,504.7,120.0,90.0,90.0,90.0,0.0,280.0,3.0,443.75
190001705269,23.0,635.3,653.3,624.2,692.0,160.0,170.0,170.0,170.0,160.0,920.0,4.0,651.2
190001493206,23.0,437.8,459.8,538.5,447.4,120.0,160.0,120.0,140.0,120.0,660.0,3.0,470.875
190001409455,31.0,527.4,438.1,529.1,391.5,90.0,120.0,100.0,100.0,100.0,500.0,4.0,471.525
190001042847,24.0,428.7,473.5,509.2,519.2,120.0,120.0,120.0,120.0,100.0,580.0,3.0,482.65000000000003
190001082481,26.0,435.3,510.5,499.2,488.6,120.0,120.0,120.0,120.0,40.0,520.0,3.0,483.4
190001493208,20.0,404.6,401.1,507.4,625.4,140.0,120.0,120.0,120.0,120.0,620.0,4.0,484.625
190001210210,21.0,443.4,443.5,509.5,583.4,90.0,120.0,120.0,100.0,120.0,540.0,5.0,494.95000000000005
190001237836,31.0,539.4,554.9,539.7,533.1,140.0,120.0,90.0,100.0,20.0,460.0,4.0,541.775
190001658317,33.0,473.4,563.9,509.2,554.9,120.0,120.0,120.0,100.0,140.0,600.0,4.0,525.35
190001480451,17.0,394.1,342.7,452.3,415.2,140.0,170.0,120.0,140.0,120.0,700.0,5.0,401.075
190001237839,18.0,589.9,576.6,593.9,648.2,160.0,170.0,160.0,160.0,140.0,800.0,4.0,602.1500000000001
190001867771,18.0,529.9,516.1,512.5,588.4,100.0,120.0,100.0,120.0,120.0,560.0,3.0,536.725
190001237840,18.0,536.2,505.9,567.8,508.4,140.0,170.0,140.0,160.0,160.0,780.0,5.0,529.5749999999999
190001425186,20.0,387.5,325.4,469.1,395.7,120.0,120.0,120.0,120.0,80.0,560.0,7.0,394.425
190001779804,19.0,477.5,495.4,527.6,389.8,100.0,120.0,90.0,120.0,120.0,540.0,4.0,472.575
190001237841,21.0,438.2,536.1,513.0,461.4,90.0,120.0,100.0,90.0,80.0,460.0,3.0,487.17499999999995
190001082484,17.0,392.4,543.9,552.7,572.0,160.0,170.0,160.0,170.0,60.0,740.0,5.0,515.25
190001658318,25.0,554.5,564.6,584.5,573.0,160.0,170.0,160.0,160.0,120.0,780.0,4.0,569.15
190001520687,20.0,403.0,539.8,568.3,441.2,140.0,100.0,100.0,120.0,60.0,520.0,2.0,488.075
190001595712,20.0,329.6,445.6,526.7,436.2,120.0,140.0,140.0,160.0,0.0,560.0,5.0,434.52500000000003
190001042848,32.0,589.8,567.9,540.8,667.4,160.0,170.0,170.0,170.0,160.0,860.0,5.0,591.4749999999999
190001425189,19.0,525.0,633.4,546.5,386.4,140.0,170.0,170.0,170.0,180.0,900.0,3.0,522.825
